index,add,coord,id,side,state,cnty,key1,block
27,"1014 LAFAYETTE AVE, BROOKLYN, NY, 11221","-73.932274,40.692066",59082585,R,36,47,29100,1000
29,"265 RALPH AVE, BROOKLYN, NY, 11233","-73.92226,40.68042",59082894,L,36,47,37900,2002
30,"425 HENRY ST, BROOKLYN, NY, 11201","-73.99807,40.686935",642653890,L,36,47,4500,4001
31,"7002 4TH AVE, BROOKLYN, NY, 11209","-74.023926,40.633648",59094279,R,36,47,6800,2002
32,"75 MESEROLE AVE, BROOKLYN, NY, 11222","-73.95471,40.726437",59076406,L,36,47,56100,1001
33,"317 HOYT ST, BROOKLYN, NY, 11231","-73.991936,40.68047",59075313,L,36,47,7500,3003
35,"131 NORMAN AVE, BROOKLYN, NY, 11222","-73.9497,40.726112",59076499,L,36,47,57300,2002
36,"272 MACDONOUGH ST, BROOKLYN, NY, 11233","-73.935936,40.681904",59079305,R,36,47,27300,2000
37,"2045 LINDEN BLVD, BROOKLYN, NY, 11207","-73.88705,40.660316",640860395,L,36,47,110400,3001
38,"215 HEYWARD ST, BROOKLYN, NY, 11206","-73.95328,40.703537",59076792,L,36,47,52900,1001
39,"450 PACIFIC ST, BROOKLYN, NY, 11217","-73.98276,40.685314",59077560,R,36,47,3900,2001
40,"417 6TH AVE, BROOKLYN, NY, 11215","-73.98316,40.668964",59078132,L,36,47,15300,3000
41,"265 RALPH AVE, BROOKLYN, NY, 11233","-73.92226,40.68042",59082894,L,36,47,37900,2002
42,"411 THATFORD AVE, BROOKLYN, NY, 11212","-73.90747,40.660744",59084103,L,36,47,91800,1005
43,"411 THATFORD AVE, BROOKLYN, NY, 11212","-73.90747,40.660744",59084103,L,36,47,91800,1005
44,"432 MONROE ST, BROOKLYN, NY, 11221","-73.94089,40.68658",59079198,R,36,47,27700,3000
45,"84 SCHAEFER ST, BROOKLYN, NY, 11207","-73.91192,40.685505",59083214,R,36,47,40100,1002
46,"100 CLERMONT AVE, BROOKLYN, NY, 11205","-73.97118,40.694763",59100605,R,36,47,18700,1008
47,"6015 18TH AVE, BROOKLYN, NY, 11204","-73.98737,40.621902",59088366,L,36,47,24400,2002
49,"183 S 3RD ST, BROOKLYN, NY, 11211","-73.96032,40.711716",59076121,L,36,47,52300,3000
50,"350 5TH AVE, BROOKLYN, NY, 11215","-73.984024,40.671917",59075688,R,36,47,13500,2001
51,"2675 E 29TH ST, BROOKLYN, NY, 11235","-73.94063,40.588394",59092024,L,36,47,60000,1000
52,"544 7TH AVE, BROOKLYN, NY, 11215","-73.98771,40.65999",59075802,R,36,47,14700,1001
53,"195 SANDFORD ST, BROOKLYN, NY, 11205","-73.952965,40.692627",59078654,L,36,47,24100,1006
55,"170 GATES AVE, BROOKLYN, NY, 11238","-73.96073,40.685043",59078038,R,36,47,23100,3000
56,"125 STUYVESANT AVE, BROOKLYN, NY, 11221","-73.93359,40.69072",59079258,L,36,47,29100,1000
57,"330 SMITH ST, BROOKLYN, NY, 11231","-73.99501,40.680035",59075282,R,36,47,7700,4000
58,"211 THROOP AVE, BROOKLYN, NY, 11206","-73.94382,40.69756",650067132,L,36,47,28502,1001
59,"400 EMPIRE BLVD, BROOKLYN, NY, 11225","-73.94931,40.664005",59079568,R,36,47,32900,3000
60,"700 CORTELYOU RD, BROOKLYN, NY, 11218","-73.97173,40.63868",59081044,R,36,47,49000,1004
61,"696 JAMAICA AVE, BROOKLYN, NY, 11208","-73.878204,40.687325",59085421,R,36,47,117601,1001
62,"845 E 96TH ST, BROOKLYN, NY, 11236","-73.90786,40.648903",59086301,L,36,47,97000,1000
63,"51 SAINT EDWARDS ST, BROOKLYN, NY, 11205","-73.978035,40.69444",59102571,L,36,47,2901,2003
64,"956 E 82ND ST, BROOKLYN, NY, 11236","-73.91077,40.63554",59086457,R,36,47,95600,1000
65,"6302 9TH AVE, BROOKLYN, NY, 11220","-74.009186,40.632412",59094657,R,36,47,12000,1001
66,"6302 9TH AVE, BROOKLYN, NY, 11220","-74.009186,40.632412",59094657,R,36,47,12000,1001
67,"215 HEYWARD ST, BROOKLYN, NY, 11206","-73.95328,40.703537",59076792,L,36,47,52900,1001
70,"95 GROVE ST, BROOKLYN, NY, 11221","-73.92101,40.692955",59082979,L,36,47,41900,1002
71,"62 PARK PL, BROOKLYN, NY, 11217","-73.976395,40.678947",59077642,R,36,47,12902,3001
72,"1420 E 68TH ST, BROOKLYN, NY, 11234","-73.91297,40.621323",59092592,R,36,47,69602,2010
73,"990 DEKALB AVE, BROOKLYN, NY, 11221","-73.934814,40.69327",59079151,R,36,47,28900,3001
74,"250 BERRY ST, BROOKLYN, NY, 11249","-73.963036,40.71473",59076068,R,36,47,55100,1000
75,"220 IRVING AVE, BROOKLYN, NY, 11237","-73.91753,40.7008",59082926,R,36,47,43100,1000
76,"544 7TH AVE, BROOKLYN, NY, 11215","-73.98771,40.65999",59075802,R,36,47,14700,1001
77,"265 WARWICK ST, BROOKLYN, NY, 11207","-73.88679,40.677113",59085101,L,36,47,117000,2002
78,"2840 W 12TH ST, BROOKLYN, NY, 11224","-73.97965,40.577938",624519897,R,36,47,35000,2003
79,"532 ALBANY AVE, BROOKLYN, NY, 11203","-73.93992,40.661724",59079816,R,36,47,80600,2000
80,"601 PARKSIDE AVE, BROOKLYN, NY, 11226","-73.95352,40.65606",59079536,L,36,47,80200,2003
81,"31 NEW YORK AVE, BROOKLYN, NY, 11216","-73.94686,40.67894",59078936,L,36,47,24700,1003
82,"5010 6TH AVE, BROOKLYN, NY, 11220","-74.00822,40.64369",59094774,R,36,47,9800,4000
83,"345 VAN SICKLEN ST, BROOKLYN, NY, 11223","-73.975204,40.595577",59090711,L,36,47,39800,1003
84,"99 AVE P, BROOKLYN, NY, 11204","-73.98448,40.607555",642654105,L,36,47,43000,3002
85,"1855 STILLWELL AVE, BROOKLYN, NY, 11223","-73.98616,40.601517",59088606,L,36,47,40400,2003
