_id,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met
86005,36005033201,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,979,-0.071264163,0.037929375,-0.25784001,-0.033848133,Very Low,High,Very Low,Very Low,15,69,10,14,Very Low,Moderate,Very Low,Very Low,18,51,20,20,Very Low,Moderate,Very Low,Very Low,18,49,19,19
86006,36005033202,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,796,-0.053511281,-0.030841343,-0.37211913,-0.052501962,Low,Very Low,Very Low,Very Low,23,14,5,6,Low,Very Low,Very Low,Very Low,25,4,13,11,Low,Very Low,Very Low,Very Low,24,3,11,10
86007,36005033202,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,858,-0.11932774,0.026944894,-0.41671681,-0.058819469,Very Low,Moderate,Very Low,Very Low,3,57,3,4,Very Low,Low,Very Low,Very Low,3,35,10,9,Very Low,Low,Very Low,Very Low,3,34,9,7
86008,36005033400,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,268,-0.027808188,0.025946194,-0.33512458,-0.03931269,Low,Moderate,Very Low,Very Low,38,56,6,11,Low,Low,Very Low,Very Low,35,33,15,18,Low,Low,Very Low,Very Low,33,33,13,16
86009,36005033400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,56,-0.040032029,0.044830762,-0.30997112,-0.035727512,Low,High,Very Low,Very Low,31,76,7,13,Low,High,Very Low,Very Low,29,61,16,19,Low,Moderate,Very Low,Very Low,29,58,15,18
86010,36005033500,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,337,0.050985273,0.078650855,0.12834111,0.028940933,High,Very High,High,High,77,98,71,78,High,Very High,High,High,74,98,75,78,High,Very High,High,High,64,96,72,73
86011,36005033500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,344,0.071596198,0.05901387,0.094742529,0.025220156,Very High,Very High,High,High,84,88,64,75,Very High,Very High,High,High,82,82,69,75,High,High,High,High,73,78,66,68
86012,36005033600,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1344,-0.055891998,0.024262302,-0.47388539,-0.058744576,Low,Moderate,Very Low,Very Low,22,54,2,4,Low,Low,Very Low,Very Low,24,31,7,9,Low,Low,Very Low,Very Low,24,31,6,7
86013,36005033600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1775,-0.099005565,0.059304662,-0.43141225,-0.054839619,Very Low,Very High,Very Low,Very Low,7,88,3,5,Very Low,Very High,Very Low,Very Low,8,83,9,10,Very Low,High,Very Low,Very Low,9,78,8,9
86014,36005033700,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,475,0.049206093,0.033124238,0.07018701,0.017132424,High,High,Moderate,High,77,64,59,66,High,Moderate,High,High,73,44,65,66,High,Moderate,High,High,63,42,62,61
86015,36005033700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,574,0.083260559,0.053488042,-0.059738792,0.007944414,Very High,Very High,Low,Moderate,87,83,34,55,Very High,High,Moderate,Moderate,85,74,44,57,High,High,Moderate,Moderate,77,70,42,53
